corruption,severity,auc_overall,auc_common,auc_rare
gaussian_noise,0,0.9137281207365773,,
gaussian_noise,1,0.911031501262258,,
gaussian_noise,2,0.8867908978947076,,
gaussian_noise,3,0.8357190664982805,,
jpeg,0,0.9134153518017184,,
jpeg,1,0.9061065108135286,,
jpeg,2,0.8975293209361526,,
jpeg,3,0.8741257547910528,,
brightness,0,0.9137281207365773,,
brightness,1,0.8604694062051637,,
brightness,2,0.8218709611709878,,
brightness,3,0.7886856117000519,,
