cls,label,support,f1_full,f1_light,f1_drop
3,dermatofibroma,23,0.16,0.0,0.16
6,vascular lesions,29,0.5925925925925926,0.5,0.09259259259259256
0,actinic keratoses and intraepithelial carcinoma,66,0.39263803680981596,0.3333333333333333,0.059304703476482645
1,basal cell carcinoma,103,0.45555555555555555,0.48221343873517786,-0.02665788317962231
2,benign keratosis-like lesions,220,0.37254901960784315,0.41361256544502617,-0.041063545837183024
4,melanoma,223,0.40993788819875776,0.31044776119402984,0.09949012700472792
5,melanocytic nevi,1341,0.8695962843872812,0.876885303402315,-0.00728901901503376
