cls,label,support,auc,ap,precision,recall,f1
0,actinic keratoses and intraepithelial carcinoma,66,0.938323409442543,0.386082707535497,0.32989690721649484,0.48484848484848486,0.39263803680981596
1,basal cell carcinoma,103,0.9466580911253357,0.4756955435486661,0.5324675324675324,0.39805825242718446,0.45555555555555555
2,benign keratosis-like lesions,220,0.8722638146167558,0.5175919023237646,0.6627906976744186,0.2590909090909091,0.37254901960784315
3,dermatofibroma,23,0.9177817751063924,0.27994680642482167,1.0,0.08695652173913043,0.16
4,melanoma,223,0.8526621471315045,0.42795103662368317,0.38076923076923075,0.4439461883408072,0.40993788819875776
5,melanocytic nevi,1341,0.9002901988266264,0.9504764351699457,0.8347050754458162,0.9075316927665921,0.8695962843872812
6,vascular lesions,29,0.9681174089068827,0.6728348445994004,0.64,0.5517241379310345,0.5925925925925926
