cls,label,support,auc_mean,auc_std,ap_mean,ap_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
0,actinic keratoses and intraepithelial carcinoma,66,0.9356770385651253,0.005304782467690773,0.35521204509002785,0.041184292213323925,0.3694566661935667,0.04075197110932721,0.32323232323232326,0.12453361622159549,0.32887344589825723,0.06479420508731716
1,basal cell carcinoma,103,0.9382867293497902,0.0061138751511226296,0.4432861909405285,0.040745607652700216,0.46696286169970375,0.07092907850779138,0.4627831715210356,0.06054461790896345,0.4555220378749791,0.013300417909943645
2,benign keratosis-like lesions,220,0.8734300993124523,0.016415115459225117,0.5071292751914741,0.050264815369377484,0.5721911291957485,0.07837665283023033,0.3409090909090909,0.057973110514269656,0.4187406043722341,0.03753237927766255
3,dermatofibroma,23,0.9168019421167317,0.014578218749832375,0.2635153095856418,0.05308299348419073,0.6,0.43204937989385733,0.08695652173913043,0.07099970268936748,0.14857142857142858,0.11692197526264995
4,melanoma,223,0.8562589858055728,0.007388133098313459,0.4368278472571984,0.015852486874262318,0.40317932841152654,0.015990039300277297,0.4588938714499253,0.01118582178407756,0.4291887681574125,0.01361895461092024
5,melanocytic nevi,1341,0.9016054898190825,0.0015106942037057195,0.9510324814721361,0.0005312563538835154,0.845042791215907,0.01285711746608447,0.8931145911011683,0.01635285528550683,0.8681701092593063,0.0011864861848379607
6,vascular lesions,29,0.9760691516589883,0.005672272941768774,0.6465982820159887,0.11684869565767257,0.5686446886446886,0.06851891584743418,0.5632183908045977,0.18318824655757732,0.5563543936092956,0.11574080766654765
