variant,auc,acc,macro_f1,min_class_f1,min_class_recall,worst_class
baseline,0.9137281207365773,0.7301745635910224,0.4646956253074066,0.16,0.08695652173913043,dermatofibroma
weighted_sampler,0.896921151376265,0.7346633416458853,0.4850581665184472,0.21428571428571427,0.13043478260869565,dermatofibroma
weighted_loss,0.893547530335563,0.6334164588528678,0.44922059485135285,0.1388888888888889,0.43478260869565216,dermatofibroma
